X1	X2
HG01377	-1.85984210658403	0
NA19923	-1.41128408457499	0
NA20581	-0.18138147903109	0
NA20506	0.997863840147372	0
NA18502	2.33125471591856	1
HG00280	-1.28713537745746	0
NA19222	0.0990678177991262	1
NA18612	-0.79425043110628	1
NA18538	-0.48898677626814	1
NA11830	-0.221301665446426	1
HG00332	0.402229601617573	0
HG01168	-1.26263178250948	0
HG00654	-0.0862907528845012	0
NA18749	-0.346828154035101	0
NA19331	-0.924628765484851	0
NA12275	-0.782877861027166	0
HG00590	-1.17114727059737	1
NA18602	-0.799208312574098	1
HG00247	-0.789098503204343	1
NA12046	1.97551441482939	0
HG00171	-0.632266653313822	0
NA19982	0.341694606463233	1
NA20513	1.4427584809259	0
NA20804	0.727837281922431	0
HG01374	-1.2787632349239	1
NA19152	0.690044341968575	0
HG00125	0.0875877111359624	1
NA18643	-0.19930391968421	0
NA18633	-1.44983484578954	0
NA19728	-2.22124974434369	0
NA18564	1.6839781255464	0
NA18949	-0.473610793748207	0
NA19399	-1.25200163090136	0
NA11919	2.50123130435946	0
NA19704	-0.997186253120925	0
NA19005	-0.663918513857925	0
HG00149	-1.67403932316274	0
NA18562	0.0424442579089155	1
HG00692	-1.67745322607178	1
NA18950	-0.270038435887721	1
HG01465	0.680978552681228	1
NA20530	0.240014207132807	1
HG00239	0.704724968977585	1
NA20356	-1.06983184275606	0
NA18999	0.223524617638783	0
HG01620	1.63730047037791	1
HG01080	0.424954974145311	1
NA12342	-0.653479537061192	1
NA11994	-0.39590942766306	1
NA19908	-0.0140378048134728	1
HG01357	0.0669743318133394	0
NA18486	-0.462081408036705	0
NA18956	-0.162834845784262	1
NA19338	0.344659153988871	1
HG00339	1.98519941653797	0
NA12003	2.11103088352329	0
HG01551	1.1605355751024	1
NA18992	0.0671281672463755	1
NA19012	0.853597239215788	1
HG00698	1.11629781948668	0
HG01624	0.674307255838741	1
NA19725	0.245231414069894	1
NA18948	-0.948290292829523	1
NA18917	-1.17916065586037	1
NA19116	0.297887548151208	0
NA19175	0.341657433967503	1
NA19117	-0.400986558834874	0
HG00683	-0.333998946173641	1
NA20414	-0.550903463040217	0
HG00266	0.157402857540138	1
NA18908	0.175385339699043	1
NA18544	0.60898536123054	0
NA20540	0.781277191982628	0
NA19036	-0.238471257671387	1
NA19079	1.14172519084236	0
HG00282	-1.27273617413648	0
HG00128	0.593614727390344	1
NA12272	-0.920792231885713	0
NA18910	-1.89980058346331	0
NA19759	-0.00619654261931655	1
HG00130	-0.33191922678548	0
NA19786	0.201541922105528	1
NA20769	1.33246002067353	0
NA19452	0.381816382173971	1
NA19764	-1.20845709163781	0
NA20539	-0.299314195205962	0
NA19440	-0.15276394424169	0
NA12763	-1.24601038421713	0
HG00320	-1.61673195413961	1
NA19038	-0.881219937984174	0
HG00445	0.0278170882490847	0
HG00180	0.812366069565051	0
NA18517	-0.290360075049461	0
HG00328	0.35994411688609	1
NA19682	0.873630090589353	1
HG01197	-2.57766079343162	1
NA19713	-1.76812564068883	1
HG00699	1.12437047765726	1
HG00258	-0.275657631971772	0
NA11829	0.602642921482655	1
